,Date,Beta0,Beta1,Beta2,Tau,Curve
208,2002-05-01,0.059964305245049525,-0.043780165757241835,-0.03157746515639602,1.0527395792184902,"NelsonSiegelCurve(beta0=0.059964305245049525, beta1=-0.043780165757241835, beta2=-0.03157746515639602, tau=1.0527395792184902)"
209,2002-06-01,0.06010008050452541,-0.044119325677163604,-0.035036286831826774,1.2613526567294426,"NelsonSiegelCurve(beta0=0.06010008050452541, beta1=-0.044119325677163604, beta2=-0.035036286831826774, tau=1.2613526567294426)"
210,2002-07-01,0.05966827556100834,-0.041971224617071964,-0.05210470905789073,1.4245858091354655,"NelsonSiegelCurve(beta0=0.05966827556100834, beta1=-0.041971224617071964, beta2=-0.05210470905789073, tau=1.4245858091354655)"
211,2002-08-01,0.05598077822142152,-0.03882432081930602,-0.04565822915419976,1.5862393032119433,"NelsonSiegelCurve(beta0=0.05598077822142152, beta1=-0.03882432081930602, beta2=-0.04565822915419976, tau=1.5862393032119433)"
212,2002-09-01,0.05487408991884185,-0.038469227158753706,-0.05242527511129417,1.9077760003432287,"NelsonSiegelCurve(beta0=0.05487408991884185, beta1=-0.038469227158753706, beta2=-0.05242527511129417, tau=1.9077760003432287)"
213,2002-10-01,0.05893377129170489,-0.04373701967750267,-0.056626895069742354,1.858227433307207,"NelsonSiegelCurve(beta0=0.05893377129170489, beta1=-0.04373701967750267, beta2=-0.056626895069742354, tau=1.858227433307207)"
214,2002-11-01,0.057122749989811115,-0.04513686281269687,-0.03914173316638907,1.602211484591008,"NelsonSiegelCurve(beta0=0.057122749989811115, beta1=-0.04513686281269687, beta2=-0.03914173316638907, tau=1.602211484591008)"
215,2002-12-01,0.055876220654898966,-0.04344362500035968,-0.049769792147396644,1.7897426773127738,"NelsonSiegelCurve(beta0=0.055876220654898966, beta1=-0.04344362500035968, beta2=-0.049769792147396644, tau=1.7897426773127738)"
216,2003-01-01,0.05543335361250143,-0.043565026991877656,-0.047878759016755326,1.5796716732526224,"NelsonSiegelCurve(beta0=0.05543335361250143, beta1=-0.043565026991877656, beta2=-0.047878759016755326, tau=1.5796716732526224)"
217,2003-02-01,0.05442706811966072,-0.041985616381896324,-0.05117984487798703,1.756056879916452,"NelsonSiegelCurve(beta0=0.05442706811966072, beta1=-0.041985616381896324, beta2=-0.05117984487798703, tau=1.756056879916452)"
218,2003-03-01,0.0561396353835857,-0.04426415762105361,-0.053710732272328136,1.7093414026934324,"NelsonSiegelCurve(beta0=0.0561396353835857, beta1=-0.04426415762105361, beta2=-0.053710732272328136, tau=1.7093414026934324)"
219,2003-04-01,0.05515567057653365,-0.04335168701259178,-0.0527227528309752,1.6159557446821402,"NelsonSiegelCurve(beta0=0.05515567057653365, beta1=-0.04335168701259178, beta2=-0.0527227528309752, tau=1.6159557446821402)"
220,2003-05-01,0.05171080230477013,-0.03971105116247376,-0.05310998979321421,1.882104296189685,"NelsonSiegelCurve(beta0=0.05171080230477013, beta1=-0.03971105116247376, beta2=-0.05310998979321421, tau=1.882104296189685)"
221,2003-06-01,0.053737439651531,-0.04470841288650006,-0.047237330470115385,1.9348940959326615,"NelsonSiegelCurve(beta0=0.053737439651531, beta1=-0.04470841288650006, beta2=-0.047237330470115385, tau=1.9348940959326615)"
222,2003-07-01,0.061077462049476186,-0.05192200206219574,-0.04943972403432122,1.5185805050199406,"NelsonSiegelCurve(beta0=0.061077462049476186, beta1=-0.05192200206219574, beta2=-0.04943972403432122, tau=1.5185805050199406)"
223,2003-08-01,0.057833037058766794,-0.048167280787805876,-0.04732587459507834,1.3026082159935468,"NelsonSiegelCurve(beta0=0.057833037058766794, beta1=-0.048167280787805876, beta2=-0.04732587459507834, tau=1.3026082159935468)"
224,2003-09-01,0.056412776649593745,-0.04712567484793583,-0.04829638264062222,1.7104114145156575,"NelsonSiegelCurve(beta0=0.056412776649593745, beta1=-0.04712567484793583, beta2=-0.04829638264062222, tau=1.7104114145156575)"
225,2003-10-01,0.05794801248836338,-0.04870981184192855,-0.043527236136720396,1.530271848450882,"NelsonSiegelCurve(beta0=0.05794801248836338, beta1=-0.04870981184192855, beta2=-0.043527236136720396, tau=1.530271848450882)"
226,2003-11-01,0.05662217178329706,-0.04782515208726465,-0.038386212305575484,1.418114208447801,"NelsonSiegelCurve(beta0=0.05662217178329706, beta1=-0.04782515208726465, beta2=-0.038386212305575484, tau=1.418114208447801)"
227,2003-12-01,0.05695770213934208,-0.048152057594649016,-0.04221718779849713,1.503778438584914,"NelsonSiegelCurve(beta0=0.05695770213934208, beta1=-0.048152057594649016, beta2=-0.04221718779849713, tau=1.503778438584914)"
